,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Mpo,-18.667829513549805,0.018219418823719025,4.374699003051319e-08,0.009715273045003414,2.8978210082615906e-13
1,facs,18m,24m,male,BAT,Fat,myeloid cell,Ldhc,14.876587867736816,1.0573597997165507e-08,0.0003180994826834649,0.000731860229279846,1.7215763612974926e-12
2,facs,18m,24m,male,BAT,Fat,myeloid cell,Zg16,14.23495101928711,3.849882634909818e-09,7.425191142829135e-05,0.00020292932458687574,1.0088478866974382e-07
3,facs,18m,24m,male,BAT,Fat,myeloid cell,Acta1,14.097140312194824,1.2450494857318972e-08,0.00021821445261593908,0.0005754301673732698,1.171919408055568e-08
4,facs,18m,24m,male,BAT,Fat,myeloid cell,Clu,13.813029289245605,1.796608195547833e-08,0.0002585911424830556,0.0007744543254375458,6.375338893940647e-06
5,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Elane,-13.124269485473633,0.0031548491679131985,3.533283177148405e-07,0.002089970512315631,2.3981958550360795e-07
6,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Stmn1,-12.632955551147461,0.0007255300297401845,1.1422284273976402e-07,0.0006205426179803908,4.910296925193524e-08
7,facs,18m,24m,male,Pancreas,Exocrine,leukocyte,Hdlbp,-12.536054611206055,0.0001354433043161407,2.2803945398663927e-08,3.499756712699309e-05,3.4133721356291147e-06
8,facs,18m,24m,male,BAT,Fat,myeloid cell,Gkn1,11.874320030212402,5.1570118841937074e-08,0.00019361240265425295,0.0005102173890918493,1.1530336171408315e-08
9,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Rfc2,-11.824671745300293,0.0004143217229284346,1.1422284273976402e-07,0.00037605196121148765,9.804528696446228e-07
10,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,6330406I15Rik,-11.679981231689453,0.0001911202271003276,5.82471280097252e-08,0.00026393591542728245,1.5803590763774474e-09
11,facs,18m,24m,male,Pancreas,Exocrine,leukocyte,Dpm1,-11.613678932189941,7.14652196620591e-05,2.2803945398663927e-08,1.7566524547873996e-05,3.907037290726484e-07
12,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Sept2,-11.440044403076172,0.0007384879281744361,2.6579400014270504e-07,0.0005205267225392163,4.520066830741186e-06
13,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Cd24a,-10.575273513793945,0.0005809491849504411,3.807696487001522e-07,0.0005027130246162415,9.330289755824034e-08
14,facs,18m,24m,male,BAT,Fat,myeloid cell,Cryba1,10.248461723327637,2.4892989358704654e-07,0.00030281214276328683,0.0008446827996522188,2.374878693793437e-07
15,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Tspan11,-10.162195205688477,0.0004870518750976771,4.2505854480623384e-07,0.0004931099247187376,9.053635037238078e-21
16,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Pdlim1,-10.110758781433105,0.00017111162014771253,1.547515182664938e-07,3.738513623829931e-05,4.681842520637054e-10
17,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Plod3,-9.977733612060547,9.194196172757074e-05,9.118257082718628e-08,0.00014958267274778336,7.866479206190716e-06
18,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ptpra,-9.946329116821289,0.0001526796113466844,1.547515182664938e-07,3.377893517608754e-05,1.0385684671854922e-09
19,facs,18m,24m,male,BAT,Fat,myeloid cell,Sparc,9.938232421875,4.054834050748468e-07,0.0003978140593972057,0.0011286615626886487,5.499083770295257e-07
20,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Cd27,-9.812604904174805,0.0002411329187452793,2.681431112705468e-07,2.3775452064001e-05,5.959462531356527e-63
21,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Dynlt3,-9.722310066223145,0.00010690915223676711,1.2656236947350408e-07,0.0001645846205065027,6.257195339007069e-07
22,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Clns1a,-9.683307647705078,0.00022046221420168877,2.681431112705468e-07,5.081414565211162e-05,1.110249991577445e-08
23,facs,18m,24m,male,BAT,Fat,myeloid cell,Lars2,9.618101119995117,1.5740952221676707e-05,0.01236994843930006,0.01791331358253956,7.59315651889293e-37
24,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Hsd3b7,-9.55459213256836,0.0002016447833739221,2.681431112705468e-07,3.1053928069013637e-06,0.0
25,facs,18m,24m,male,BAT,Fat,myeloid cell,Tcp11,9.504232406616211,1.733171473006223e-07,0.00012586441880557686,0.0003590930427890271,7.819508444741805e-07
26,facs,18m,24m,male,Heart,LV,B cell,Tmem14c,9.223294258117676,6.825472382843145e-07,0.00040796370012685657,0.00036675139563158154,2.2162477617161193e-10
27,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Bscl2,-9.075724601745605,0.00012369929754640907,2.2924504605725815e-07,0.00017957673117052764,3.1750466844345536e-08
28,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Synj2bp,-8.937812805175781,7.377718429779634e-05,1.504420765741088e-07,0.00010920545173576102,1.0535771814099935e-07
29,facs,18m,24m,male,BAT,Fat,myeloid cell,Cela1,8.929518699645996,3.7315538747861865e-07,0.00018194661242887378,0.0005122917355038226,4.1118355938181937e-07
30,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Tacstd2,-8.84762191772461,0.00012352867634035647,2.681431112705468e-07,5.152310677658534e-06,0.0
31,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Dnajc2,-8.83141803741455,0.0001221490529133007,2.681431112705468e-07,8.840168447932228e-06,1.7709020724899692e-115
32,facs,18m,24m,male,BAT,Fat,myeloid cell,Klk1,8.747722625732422,2.409183252893854e-07,0.00010356158600188792,0.00029141022241674364,4.3798619360009386e-07
33,facs,18m,24m,male,Spleen,nan,B cell,Ins1,8.592906951904297,3.602126597002098e-08,1.3908926121075638e-05,2.3468961444450542e-05,2.5923932241326846e-21
34,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ppil4,-8.524406433105469,8.547319885110483e-05,2.321272773997407e-07,2.2485724912257865e-05,9.09197988606094e-06
35,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Nfe2l1,-8.472389221191406,5.545794192585163e-05,1.5614122617080284e-07,9.012900409288704e-05,9.898770816573509e-06
36,facs,18m,24m,male,GAT,Fat,myeloid cell,Gm6981,8.242918968200684,6.799111673672087e-08,2.059797043330036e-05,2.5433819246245548e-05,2.5238810993217947e-15
37,facs,18m,24m,male,SCAT,Fat,epithelial cell,Sepp1,8.221626281738281,3.2969087442324962e-06,0.0009841544087976217,0.0014542111894115806,9.52094897348358e-06
38,facs,18m,24m,male,Spleen,nan,B cell,Ins2,8.216079711914062,7.696268511381277e-08,2.288612085976638e-05,3.736451981239952e-05,7.112444430893503e-38
39,facs,18m,24m,male,Heart,LV,B cell,Egr1,-7.906974792480469,0.0012164164800196886,5.068105565442238e-06,0.0012305865529924631,9.086800497393985e-07
40,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Shmt2,-7.735133171081543,0.00021431663481052965,1.0058848829430644e-06,3.7119501939741895e-05,6.796837629036997e-18
41,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Scara3,-7.669050693511963,0.0002314538141945377,1.1372335393389221e-06,0.00031594219035468996,1.0570507959783476e-09
42,facs,18m,24m,male,Pancreas,Exocrine,pancreatic stellate cell,Tmem126a,-7.538039684295654,0.00010794278932735324,5.807868888041412e-07,3.198534977855161e-05,4.880296692363232e-11
