,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
66987,0,droplet,3m,30m,male,,,,Krt6a,-20.847715377807617,0.001424849615432322,7.540598701005763e-10,0.004652134142816067,0.0
69656,0,droplet,24m,30m,male,,,,Krt6a,-20.077863693237305,0.0008356425096280873,7.540598701005763e-10,0.003994071390479803,0.0
11150,0,droplet,3m,24m,male,Kidney,,,Slc12a1,-18.843643188476562,0.0015329810557886958,3.257629499486825e-09,0.004109303466975689,3.82255978334385e-33
110540,0,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Mpo,-18.667829513549805,0.018219418823719025,4.374699003051319e-08,0.009715273045003414,2.8978210082615906e-13
66988,1,droplet,3m,30m,male,,,,Reg1,18.572494506835938,1.8185323247266183e-09,0.0007093122112564743,0.0037372345104813576,0.0
62270,0,droplet,3m,18m,female,,,,Ins1,18.413652420043945,9.35636457199962e-09,0.003267499152570963,0.01764858327805996,4.4580543198993516e-159
66989,2,droplet,3m,30m,male,,,,Krt13,-18.334686279296875,0.0005038472008891404,1.5230816607925135e-09,0.002112005138769746,5.9005115922572765e-266
69657,1,droplet,24m,30m,male,,,,Krt13,-18.241127014160156,0.00047220918349921703,1.5230816607925135e-09,0.002261705230921507,0.0
64099,0,droplet,3m,21m,female,,,,Ins1,18.0552921295166,9.35636457199962e-09,0.0025488133542239666,0.01550618838518858,1.0812611391687321e-206
53033,0,droplet,24m,30m,male,Kidney,,,Akr1c21,17.878219604492188,7.104028476589974e-09,0.0017117724055424333,0.0020490786992013454,0.0
17118,0,facs,3m,18m,female,Liver,,,Cyp3a11,-17.80466651916504,0.004003104288130999,1.748368916310028e-08,0.003131460165604949,1.3563658113694863e-53
64100,1,droplet,3m,21m,female,,,,Clps,17.79157257080078,8.298249865035245e-10,0.00018849782645702362,0.0027583243791013956,1.1060300141798306e-32
36953,0,facs,18m,24m,male,BAT,,,Krt8,17.753686904907227,1.8101212750920581e-09,0.00040025761700235307,0.0011992501094937325,5.797106124269085e-17
36954,1,facs,18m,24m,male,BAT,,,Wfdc2,17.51806640625,1.2183406505883454e-09,0.0002288699324708432,0.0008276984444819391,1.589307441645952e-10
53034,1,droplet,24m,30m,male,Kidney,,,Slc12a1,17.482219696044922,3.257629499486825e-09,0.0005966336466372013,0.002478283131495118,2.3606444618528014e-68
28785,0,facs,3m,24m,male,BAT,,,Spt1,17.31181526184082,6.733756663379609e-09,0.0010957146296277642,0.0035212980583310127,2.722388209195923e-14
17119,1,facs,3m,18m,female,Liver,,,Cd7,17.308961868286133,4.369599349018927e-09,0.0007096719346009195,0.0021582881454378366,5.638141478540036e-09
17120,2,facs,3m,18m,female,Liver,,,C8b,-17.196439743041992,0.0002187495556427166,1.4554748517525695e-09,0.0003318955423310399,1.2542981939861734e-11
64478,0,droplet,3m,24m,male,,,,Acan,-17.185163497924805,0.000247092975769192,1.6571001237863925e-09,0.0007695002132095397,0.0
11151,1,droplet,3m,24m,male,Kidney,,,Akr1c21,-17.09027099609375,0.0009914026595652103,7.104028476589974e-09,0.0014598675770685077,7.969704766058269e-118
109819,2,facs,18m,24m,male,Heart,LA,,Cd79a,17.05069923400879,2.999867021458158e-09,0.0004073975724168122,0.0016760412836447358,1.923443593787907e-09
36955,2,facs,18m,24m,male,BAT,,,Car6,16.91474723815918,1.2555376738276891e-09,0.00015524654008913785,0.0006300217937678099,1.2763947036067868e-07
28786,1,facs,3m,24m,male,BAT,,,Upk1a,16.728519439697266,1.3503443918594371e-09,0.0001467411930207163,0.0006037256680428982,2.569375267702447e-07
17121,3,facs,3m,18m,female,Liver,,,Mug-ps1,-16.627246856689453,3.692524114740081e-05,3.6377331702475146e-10,6.279288936639205e-05,4.447299467401966e-08
17122,4,facs,3m,18m,female,Liver,,,Itgb7,16.500688552856445,6.243642935999105e-09,0.0005790420109406114,0.0012782603735104203,3.3213411890142276e-20
17123,5,facs,3m,18m,female,Liver,,,Ltb,16.49839210510254,8.32194757549587e-09,0.000770527170971036,0.0013362427707761526,6.176863622806161e-35
62271,1,droplet,3m,18m,female,,,,Ins2,16.4792537689209,1.3472934767833067e-07,0.012308781035244465,0.06671489030122757,5.891358233720039e-158
11152,2,droplet,3m,24m,male,Kidney,,,Timp3,-16.35926628112793,0.0014221890596672893,1.6916153811052936e-08,0.0014064733404666185,1.9069540292621392e-265
66990,3,droplet,3m,30m,male,,,,Krt16,-16.336647033691406,0.0006541245384141803,7.902871246301402e-09,0.0033821172546595335,3.9016701951628322e-174
