,Unnamed: 0,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value,uniprot_mouse,uniprot_daphnia
0,24857,0,droplet,3m,30m,male,,,,Krt6a,-20.847715377807614,0.001424849615432322,7.540598701005763e-10,0.004652134142816068,0.0,P50446,
1,26194,0,droplet,24m,30m,male,,,,Krt6a,-20.077863693237305,0.0008356425096280872,7.540598701005763e-10,0.003994071390479803,0.0,P50446,
2,2425,0,droplet,3m,24m,male,Kidney,,,Slc12a1,-18.84364318847656,0.0015329810557886956,3.257629499486825e-09,0.004109303466975689,3.82255978334385e-33,P55014,
3,39941,0,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Mpo,-18.667829513549805,0.018219418823719025,4.374699003051319e-08,0.009715273045003414,2.8978210082615906e-13,P11247,
4,24858,1,droplet,3m,30m,male,,,,Reg1,18.572494506835934,1.8185323247266185e-09,0.0007093122112564743,0.003737234510481358,0.0,P43137,
5,22908,0,droplet,3m,18m,female,,,,Ins1,18.413652420043945,9.35636457199962e-09,0.003267499152570963,0.01764858327805996,4.45805431989935e-159,P01325,
6,24859,2,droplet,3m,30m,male,,,,Krt13,-18.334686279296875,0.0005038472008891404,1.5230816607925135e-09,0.0021120051387697463,5.900511592257274e-266,P08730,
7,26195,1,droplet,24m,30m,male,,,,Krt13,-18.24112701416016,0.000472209183499217,1.5230816607925135e-09,0.002261705230921507,0.0,P08730,
8,23682,0,droplet,3m,21m,female,,,,Ins1,18.0552921295166,9.35636457199962e-09,0.0025488133542239666,0.015506188385188581,1.0812611391687317e-206,P01325,
9,19240,0,droplet,24m,30m,male,Kidney,,,Akr1c21,17.878219604492188,7.104028476589973e-09,0.0017117724055424333,0.0020490786992013454,0.0,Q91WR5,
10,5383,0,facs,3m,18m,female,Liver,,,Cyp3a11,-17.80466651916504,0.0040031042881309995,1.748368916310028e-08,0.003131460165604949,1.3563658113694863e-53,Q64459,
